Name,FinalStar,RatingDistTotal,
"Sams Teach Yourself JavaScript in 24 Hours",3.3,58,
"Using JavaScript",0,0,
"Pro JavaScript Techniques",4.0,193,
"Python Pocket Reference",4.0,630,
"Python & XML",2.8,26,
"The Greedy Python",4.1,2261,
"Java Foundation Classes in a Nutshell",3.0,23,
"Java in a Nutshell: A Desktop Quick Reference",3.8,975,
"Java and XML",3.2,83,
"Professional Java Data",3.5,4,
"Pro Java EE 5 Performance Management and Optimization",3.9,10,
"Jboss Seam: Simplicity and Power Beyond Java Ee",3.2,12,
"Java EE and .NET Interoperability: Integration Strategies, Patterns, and Best Practices",2.0,3,
"An Introduction to Programming and Object-Oriented Design Using Java",2.8,4,
"Java Enterprise in a Nutshell",3.3,19,
"Java Threads",3.5,64,
"Extreme Programming with Ant: Building and Deploying Java Applications with Jsp, Ejb, Xslt, Xdoclet, and Junit",0,0,
"A Java Library of Graph Algorithms and Optimization",3.0,1,
"Java Data Mining: Strategy, Standard, and Practice: A Practical Guide for Architecture, Design, and Implementation",4.0,4,
"Java Cryptography Extensions: Practical Guide for Programmers",3.3,12,
"Concurrent Programming: The Java Programming Language",4.0,2,
"Concurrent and Real-Time Programming in Java",3.5,4,
"The JR Programming Language: Concurrent Programming in an Extended Java",0,0,
"Concurrent and Distributed Computing in Java",3.6,14,
"Creating Components: Object Oriented, Concurrent, and Distributed Computing in Java",3.5,2,
"Concurrent Programming in Java: Design Principles and Pattern",4.2,133,
"Advanced Placement Computer Science Study Guide to Accompany Cay Horstmann's Java Concepts",0,0,
"Introduction to Cryptography with Java Applets",2.5,2,
"Beginning Cryptography with Java",3.7,30,
"Java Cryptography",3.3,25,
"Cryptography for Internet and Database Applications: Developing Secret and Public Key Techniques with Java",3.2,4,
"Java 2 Enterprise Edition 1.4 (JSEE 1.4) Bible",3.9,8,
"Realizing the Dream of R. A. Kartini: Her Sister's Letters from Colonial Java",3.7,3,
"Hardcore Java",3.5,63,
"Learning Java",3.6,194,
"The Java Tutorial: A Short Course on the Basics",3.7,16,
"Java 5.0 Tiger: A Developer's Notebook",3.9,24,
"Murach's Beginning Java 2, JDK 5",3.7,6,
"The Art and Science of Java",4.0,111,
"Java After Hours: 10 Projects You'll Never Do at Work",3.2,6,
"Building Web Services with Java: Making Sense of XML, SOAP, WSDL, and UDDI",2.9,17,
"Soa Using Java Web Services",3.5,12,
"Java Web Services",3.1,22,
"The Java Programming Language (The Java Series)",3.8,200,
"Big Java",3.8,141,
"Java All-In-One Desk Reference for Dummies",4.1,125,
"C++ for Java Programmers",3.6,36,
"Graphic Java 2, Volume 2, Swing",3.0,13,
"Java 6 New Features",3.8,4,
"The Art of Java",3.7,18,
"Pro XML Development with Java Technology",2.8,4,
"A Programmer's Guide to Java Certification: A Comprehensive Primer",4.1,15,
"Introduction to Java Programming: Fundamentals First",4.2,18,
"Fundamental Networking in Java",3.8,8,
"The Java Class Libraries Poster: Java 2 Platform Standard Edition 5.0",3.1,19,
"Java Extreme Programming Cookbook",3.4,25,
"Java for the Beginning Programmer",3.0,1,
"Java Number Cruncher: The Java Programmer's Guide to Numerical Computing",3.0,2,
"Java for RPG Programmers",4.0,4,
"Modern Compiler Implementation in Java",3.5,81,
"Java Phrasebook",3.8,8,
"Murach's Java SE 6",3.5,27,
"Java and XML: Solutions to Real-World Problems",3.2,83,
"Simply Java Programming: An Application-Driven Tutorial Approach",3.3,12,
"Java Message Service",3.3,29,
